timestamp_ms,keypoint.right_elbow_x,keypoint.right_elbow_y,joint.right_elbow_x,joint.right_elbow_y,joint.right_elbow_z,angle.shoulder_abduction
4095,264.3093262,282.5194702,-0.410444647,-0.327898175,0.382578611,42.76516724
4199,264.6741333,282.9718018,-0.408858418,-0.32757917,0.375431299,42.4622879
4335,265.4036865,282.2568054,-0.414835662,-0.328797638,0.381746799,42.61494064
4407,264.9951172,282.1254883,-0.409032196,-0.32711646,0.37667042,42.57689285
4515,264.0321045,282.6362,-0.403251112,-0.327758223,0.375778466,42.65740585
4609,264.6011658,282.8696594,-0.413466901,-0.329275012,0.381332397,43.09864044
4715,264.6303711,282.7237244,-0.412477434,-0.328973353,0.376701772,42.94298172
4812,264.6887207,282.9134216,-0.412192822,-0.327621043,0.379588753,42.33921432
4916,264.265564,282.9134216,-0.41669929,-0.325178623,0.375288606,43.23062134
5012,264.5865784,282.3589478,-0.40685302,-0.327647626,0.374766141,41.64273834
5113,264.4698486,283.3074036,-0.403508276,-0.331303716,0.384995282,41.40526199
5233,264.3677063,282.3589478,-0.412574679,-0.32505101,0.377275139,41.78333282
5333,264.0321045,282.4610901,-0.412313223,-0.327290893,0.373888671,41.83334351
5450,265.257782,280.5496216,-0.416794896,-0.331516564,0.372591615,41.8011322
5532,265.7247009,281.3959045,-0.407223523,-0.32904458,0.361806244,40.31984711
5656,267.6945496,280.5058289,-0.413486272,-0.332503974,0.35147059,40.71924973
5737,265.7539063,277.6313171,-0.41375041,-0.332387388,0.351137847,40.18716431
5839,266.322937,270.0875549,-0.416707277,-0.347898126,0.350047469,41.31632614
5939,272.2033081,270.379364,-0.445983231,-0.360361844,0.341870755,44.58382416
6043,280.0681152,266.9212036,-0.476000845,-0.376796484,0.32221505,48.04309845
6143,284.693573,259.5525208,-0.503398836,-0.404206514,0.310367137,51.42767334
6275,288.8886108,254.7738342,-0.516288936,-0.425400615,0.302687138,53.98976898
6353,292.5693054,249.1488342,-0.541118205,-0.444198638,0.299911886,58.1678772
6470,292.3759766,248.7840424,-0.534766853,-0.447962284,0.30547756,57.24462891
6544,296.1296387,245.7162018,-0.543095469,-0.455928177,0.304170191,59.48210907
6646,295.6773071,242.7212982,-0.545790911,-0.467220753,0.305888087,59.34584045
6748,296.140564,243.4837036,-0.544974089,-0.465044945,0.305909395,59.15833282
6848,294.557373,246.1904144,-0.533660829,-0.459781557,0.314798295,57.84762955
6967,290.734436,245.8949432,-0.521738231,-0.455132782,0.321844012,55.6509819
7051,288.4508667,249.9002991,-0.510818243,-0.451626658,0.324782908,53.92561722
7153,287.867218,250.2212982,-0.507335067,-0.450202316,0.32909444,54.2573204
7257,283.9056396,258.7791748,-0.491836697,-0.425941259,0.329758435,50.50553131
7364,284.7081909,269.9416199,-0.476416558,-0.399846762,0.316547275,48.15680313
7467,279.6887207,273.8229675,-0.467055947,-0.385159999,0.324369371,46.34527969
7583,270.0291748,270.7295837,-0.440066367,-0.377757967,0.337487102,43.74831009
7707,266.556427,275.7928162,-0.41808489,-0.363000393,0.349388123,41.47733307
7780,263.6672974,281.8920288,-0.403029144,-0.353363812,0.35958007,40.37592697
7910,261.7120667,283.3074036,-0.395475596,-0.343150973,0.371120661,39.83625031
8001,259.742218,282.6069946,-0.399739325,-0.345960617,0.373082131,38.67614365
8124,260.0048828,283.0885315,-0.387606829,-0.34425199,0.370465934,37.85377502
8198,262.0330811,282.4756775,-0.394833148,-0.343652397,0.368969977,37.85873413
8311,261.9747009,281.5710144,-0.39442426,-0.34410131,0.36674881,38.30105209
8403,262.9377441,281.6147766,-0.38785699,-0.340557396,0.361468762,37.05930328
8544,262.8939819,281.935791,-0.393975586,-0.339049101,0.36131686,37.48488998
8617,261.6828613,282.4610901,-0.386609733,-0.334781379,0.359711796,36.29467392
8722,261.9309387,282.40271,-0.385736316,-0.337155819,0.369997442,37.07376862
8823,261.7996216,282.9425964,-0.388027668,-0.334787607,0.370829165,37.86903763
8957,262.2373657,282.7529297,-0.39877969,-0.337323606,0.355976254,38.56271362
9032,262.5437622,282.8696594,-0.406530589,-0.342294663,0.357755065,38.6703186
9162,268.0447388,277.2811279,-0.417986006,-0.349462122,0.348623931,40.17533875
9233,265.8851929,277.6604919,-0.422864437,-0.357936114,0.350944817,42.55189514
9339,266.6585693,273.8521423,-0.43468079,-0.365772814,0.347288102,42.82862473
9431,269.0515747,267.8988342,-0.446122885,-0.37283498,0.337538183,43.80786896
9594,281.5418091,270.5544739,-0.493029863,-0.397508979,0.318684638,49.02118683
9664,288.3487549,269.1099243,-0.520156801,-0.397381723,0.311504722,50.62371063
9763,288.6259766,251.4105072,-0.522822678,-0.434969425,0.315980494,54.63130188
9874,297.9790649,248.7548676,-0.550393939,-0.45488888,0.295261055,57.46850967
10010,304.4029541,242.9073486,-0.568677843,-0.475551218,0.286364377,61.43138885
10085,303.9907532,235.3453369,-0.589600623,-0.497793078,0.281510264,65.75833893
10220,303.8740234,234.0065613,-0.574908555,-0.496996373,0.285208046,63.62639618
10297,303.2484131,234.0248108,-0.567043841,-0.500168145,0.284875423,63.4256134
10399,303.3833923,234.6485901,-0.567622483,-0.502131581,0.292054147,62.57392502
10498,304.3591919,235.8779144,-0.565943956,-0.496185243,0.297361732,62.28401184
10625,302.7431946,240.6032715,-0.55605948,-0.492034107,0.301310092,60.41449356
10728,294.3677063,253.5773315,-0.537883222,-0.467826188,0.318704039,57.88617706
10840,291.0335693,263.2879333,-0.508839905,-0.434017569,0.315296203,51.47386169
